gene_id	bp_length	symbol
1	4027	A1BG
10	1317	NAT2
100	1532	ADA
1000	4473	CDH2
100008589	5071	RNA28S5
100009613	804	ANO1-AS2
100009676	2784	ZBTB11-AS1
10001	3062	MED6
10002	2813	NR2E3
10003	4780	NAALAD2
100033413	97	SNORD116-1
100033414	2956	SNORD116-2
100033415	194	SNORD116-3
100033416	98	SNORD116-4
100033417	97	SNORD116-5
100033420	97	SNORD116-8
100033422	104	SNORD116-10
100033423	94	SNORD116-11
100033424	94	SNORD116-12
100033425	1178	SNORD116-13
100033427	94	SNORD116-15
100033428	94	SNORD116-16
100033430	94	SNORD116-18
100033431	1236	SNORD116-20
100033433	99	SNORD116-22
100033434	94	SNORD116-23
100033435	94	SNORD116-24
100033436	94	SNORD116-25
100033437	82	SNORD115-2
100033438	2170	SNORD116-26
100033440	82	SNORD115-3
100033441	82	SNORD115-4
100033442	82	SNORD115-5
100033443	82	SNORD115-6
100033444	82	SNORD115-7
100033445	82	SNORD115-8
100033446	164	SNORD115-9
100033447	163	SNORD115-10
100033448	328	SNORD115-11
100033450	82	SNORD115-13
100033451	81	SNORD115-14
100033453	81	SNORD115-15
100033454	82	SNORD115-16
100033455	246	SNORD115-17
100033603	82	SNORD115-21
100033799	82	SNORD115-22
100033801	82	SNORD115-25
100033802	82	SNORD115-26
100033804	82	SNORD115-30
100033805	82	SNORD115-31
100033806	82	SNORD115-32
100033807	82	SNORD115-33
100033809	82	SNORD115-35
100033811	82	SNORD115-37
100033812	82	SNORD115-38
100033813	82	SNORD115-39
100033815	82	SNORD115-41
100033818	82	SNORD115-44
100033820	93	SNORD116-28
100033821	85	SNORD116-29
100033822	76	SNORD115-48
100034743	1402	PDZK1P1
100036519	3109	NA
100036563	71	SNORD115-24
100036564	76	SNORD115-27
100036565	74	SNORD115-28
100036566	53	SNORD115-45
100036567	33	SNORD115-47
100038246	1882	TLX1NB
10004	3174	NAALADL1
100048912	4208	CDKN2B-AS1
100049587	2113	SIGLEC14
10005	3216	ACOT8
10006	3776	ABI1
10007	3229	GNPDA1
100073347	1288	MIMT1
10008	3120	KCNE3
10009	5311	ZBTB33
100093630	619	SNHG8
100093631	4329	GTF2IP4
100093698	2249	GS1-600G8.3
1001	4276	CDH3
10010	2335	TANK
100101266	1255	HAVCR1P1
100101267	6558	POM121C
100101467	8773	ZSCAN30
100101490	835	MCTS2P
100101938	3726	ANKRD26P3
10011	2104	SRA1
100113378	96	SNORD119
100113379	91	SNORD121A
100113381	93	SNORD19B
100113382	92	SNORD105B
100113384	88	SNORD123
100113386	3571	UCKL1-AS1
100113389	99	SNORD127
100113391	99	SNORD126
100113392	112	SNORD11B
100113393	103	SNORD12B
100113402	101	SNORD111B
100113403	575	LIN28B-AS1
100113404	384	LINC00583
100113407	8413	TMEM170B
100124412	1130	FAM138E
100124516	90	SNORD58C
100124533	126	SCARNA27
100124534	136	SNORA84
100124535	127	SNORA36C
100124536	132	SNORA38B
100124537	134	SNORA70B
100124538	136	SNORA70C
100124539	127	SNORA11B
100124540	127	SNORA11C
100124700	2579	HOTAIR
100125288	1980	ZGLP1
100125556	2041	FAM86JP
100126270	3028	FMR1-AS1
100126296	88	MIR298
100126297	82	MIR300
100126299	100	VTRNA2-1
100126302	78	MIR450B
100126303	77	MIR890
100126304	79	MIR891B
100126306	77	MIR888
100126307	77	MIR892B
100126308	84	MIR541
100126309	76	MIR875
100126310	81	MIR876
100126311	80	MIR147B
100126313	98	MIR744
100126315	72	MIR665
100126316	77	MIR873
100126317	72	MIR374B
100126318	78	MIR301B
100126319	82	MIR216B
100126320	75	MIR920
100126321	81	MIR922
100126323	53	MIR924
100126324	83	MIR934
100126325	91	MIR935
100126326	98	MIR936
100126327	83	MIR938
100126328	94	MIR940
100126329	229	MIR941-1
100126331	86	MIR942
100126332	94	MIR943
100126333	88	MIR708
100126334	74	MIR885
100126335	78	MIR543
100126336	77	MIR208B
100126340	88	MIR944
100126341	79	MIR891A
100126342	75	MIR892A
100126343	78	MIR874
100126345	79	MIR889
100126346	79	MIR190B
100126347	79	MIR887
100126348	80	MIR760
100126349	56	MIR921
100126350	77	MIR933
100126351	82	MIR939
100126352	229	MIR941-3
100126354	66	MIR297
100126355	87	MIR365A
100126356	111	MIR365B
100126693	907	LINC00322
100126780	128	SNAR-G1
100126781	123	SNAR-F
100126784	3739	LOC100126784
100126791	1462	EGOT
100126793	3125	GHRLOS
100126798	244	SNAR-A1
100126800	244	SNAR-A12
100127206	573	KIAA1024L
100127888	1423	SLCO4A1-AS1
100127889	1176	C10orf131
100127983	1053	C8orf88
100128006	3727	LOC100128006
100128023	1145	DPPA2P3
100128025	1698	WWTR1-AS1
100128054	1408	PLCE1-AS1
100128055	1147	SMARCA5-AS1
100128071	699	FAM229A
100128076	2012	LOC100128076
100128081	1194	JAZF1-AS1
100128098	1868	ST8SIA6-AS1
100128124	1016	HGC6.3
100128126	2068	STAU2-AS1
100128164	7012	LOC100128164
100128176	2081	UST-AS1
100128191	3161	TMPO-AS1
100128233	1442	LOC100128233
100128239	2299	LOC100128239
100128252	1782	ZNF667-AS1
100128264	2879	HTR5A-AS1
100128285	3598	DNM1P35
100128288	2129	LOC100128288
100128327	1325	TRAPPC3L
100128361	2485	LOC100128361
100128378	3019	LINC00696
100128385	5806	FAM225B
100128398	1897	LOC100128398
100128420	689	LINC00892
100128494	4233	LOC100128494
100128496	648	C20orf78
100128505	1756	ASTN2-AS1
100128511	632	NEBL-AS1
100128531	973	LOC100128531
100128554	3051	LOC100128554
100128568	639	LOC100128568
100128569	671	C19orf71
100128573	525	LOC100128573
100128590	1002	SLC8A1-AS1
100128593	2702	LOC100128593
100128627	1836	CDC42P3
100128640	2517	ACVR2B-AS1
100128675	4617	HPN-AS1
100128682	3312	LINC01531
100128714	1967	LOC100128714
100128731	485	OST4
100128750	909	RBPMS-AS1
100128770	3060	LOC100128770
100128782	11322	LINC00476
100128787	823	LINC01349
100128788	2796	SRRM2-AS1
